first_name,last_name,specialty,hospital,city,ranking,email,phone,password,dp
Lisa,Johnson,Psychiatry,Community Health Center,Chicago,Consultant,lisa.johnson@example.com,018.132.4454x9767,Lisa_password,default-dp.jgp
Cody,Martinez,Pediatrics,City Hospital,San Antonio,Senior Registrar,cody.martinez@example.com,001-084-934-0699x916,Cody_password,default-dp.jgp
Andrew,Cole,Psychiatry,Regional Medical Center,Houston,Registrar,andrew.cole@example.com,(960)134-5996,Andrew_password,default-dp.jgp
Joshua,Barrera,Oncology,Community Health Center,Los Angeles,Registrar,joshua.barrera@example.com,009.238.0257,Joshua_password,default-dp.jgp
Keith,Evans,Dermatology,County General,San Antonio,Senior Registrar,keith.evans@example.com,(041)796-5558x057,Keith_password,default-dp.jgp
Sandy,Cox,Dermatology,Veterans Affairs Hospital,Houston,Senior Registrar,sandy.cox@example.com,511-647-6097,Sandy_password,default-dp.jgp
Jeanette,Tran,Endocrinology,Metropolitan Hospital,San Antonio,Consultant,jeanette.tran@example.com,806-119-6599x164,Jeanette_password,default-dp.jgp
Jennifer,Oneal,Hematology,Veterans Affairs Hospital,Phoenix,Registrar,jennifer.oneal@communityhealthcenter.com,(908)086-9689x225,Jennifer_password,default-dp.jgp
Michael,Henry,Dermatology,City Hospital,San Jose,Junior Registrar,michael.henry@example.com,001-277-284-0219x856,Michael_password,default-dp.jgp
Jacob,Walker,Pediatrics,Regional Medical Center,Philadelphia,Registrar,jacob.walker@example.com,001-672-928-1485x68439,Jacob_password,default-dp.jgp
Mary,Wilson,Cardiology,Children's Hospital,Houston,Junior Registrar,mary.wilson@example.com,001-849-889-7093x601,Mary_password,default-dp.jgp
Dakota,Smith,Radiology,Metropolitan Hospital,Los Angeles,Registrar,dakota.smith@example.com,(352)445-1918x313,Dakota_password,default-dp.jgp
Andrew,Padilla,Surgery,Regional Medical Center,Chicago,Junior Registrar,andrew.padilla@example.com,001-461-666-0404x51605,Andrew_password,default-dp.jgp
Natalie,Wilcox,Dermatology,Children's Hospital,Los Angeles,Registrar,natalie.wilcox@example.com,+1-850-453-7217x4240,Natalie_password,default-dp.jgp
Dorothy,Wagner,Pediatrics,Saint Mary's Hospital,Chicago,Registrar,dorothy.wagner@example.com,(544)797-8568x30610,Dorothy_password,default-dp.jgp
Thomas,King,Surgery,Children's Hospital,San Jose,Registrar,thomas.king@example.com,(170)365-9538x07975,Thomas_password,default-dp.jgp
Renee,West,Oncology,General Hospital,Chicago,Junior Registrar,renee.west@example.com,571.174.6991,Renee_password,default-dp.jgp
Jessica,Price,Cardiology,Veterans Affairs Hospital,San Antonio,House Officer,jessica.price@example.com,276-902-8690x6277,Jessica_password,default-dp.jgp
Marie,Knox,Emergency Medicine,County General,Los Angeles,Junior Registrar,marie.knox@children'shospital.com,571.331.5285x637,Marie_password,default-dp.jgp
Jason,Johnson,Dermatology,City Hospital,San Antonio,House Officer,jason.johnson@example.com,457.651.8865x94201,Jason_password,default-dp.jgp
Peter,Ballard,Cardiology,University Medical Center,New York,Registrar,peter.ballard@example.com,(558)560-7023x87888,Peter_password,default-dp.jgp
Elizabeth,Mcfarland,Gastroenterology,Regional Medical Center,San Jose,Consultant,elizabeth.mcfarland@example.com,-2581,Elizabeth_password,default-dp.jgp
Shawna,Lane,Oncology,Metropolitan Hospital,San Jose,Registrar,shawna.lane@example.com,504.302.4415,Shawna_password,default-dp.jgp
Daniel,Rubio,Oncology,University Medical Center,San Antonio,Registrar,daniel.rubio@example.com,001-772-173-5136x79067,Daniel_password,default-dp.jgp
Cynthia,Pittman,Gastroenterology,Metropolitan Hospital,San Jose,Senior Registrar,cynthia.pittman@example.com,872.502.3185,Cynthia_password,default-dp.jgp
Jonathon,Fernandez,Dermatology,County General,Chicago,House Officer,jonathon.fernandez@example.com,(949)383-8294x24024,Jonathon_password,default-dp.jgp
Timothy,Guzman,Dermatology,Regional Medical Center,Philadelphia,House Officer,timothy.guzman@example.com,001-269-388-6514x1916,Timothy_password,default-dp.jgp
Sandra,Flores,Emergency Medicine,County General,Dallas,Senior Registrar,sandra.flores@example.com,793.859.7378x3463,Sandra_password,default-dp.jgp
Mark,Campbell,Pediatrics,Metropolitan Hospital,Los Angeles,House Officer,mark.campbell@example.com,915-193-3613,Mark_password,default-dp.jgp
Mario,Peterson,Gastroenterology,Community Health Center,San Antonio,Consultant,mario.peterson@example.com,+1-643-106-6123x678,Mario_password,default-dp.jgp
